"item","Jan/jan","Feb/fev","Mar/mar","Apr/avr","May/mai","Jun/jui","Jul/jui","Aug/aou","Sep/sep","Oct/oct","Nov/nov","Dec/dec","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24"
"(Atlantic Weighted Average)   Crude Costs / Cout de brut","74.3",70.9,68.1,61.9,59.2,63.4,63.2,61.7,62.2,59.7,59.7,56.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Refiner Operating Margin / Marge du raffinage","20.7",24,22.8,27.9,31.1,26,26.9,31.8,31.4,29,32,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marketing Operating Margin / Marge beneficiare du distributeur","6.3",8.8,7.1,9.3,10.8,11.6,11.1,9.9,12.4,16.8,16.7,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taxes","59.5",59.8,59,38.9,39.2,39.2,39.2,39.6,39.9,39.9,40.3,38.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tax Components:           Federal Excise Tax","10",10,10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GST/HST","21",21.3,20.5,18,18.3,18.3,18.3,18.6,19,19,19.4,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Provincial","28.5",28.5,28.5,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HALIFAX* Pump Price / Prix au detail","162.69999999999999",163.1,158,140,142.1,141.4,142.8,145.8,147.4,138.1,143.3,131.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Atlantic Weighted Average)   Crude Costs / Cout de brut","74.3",70.9,68.1,61.9,59.2,63.4,63.2,61.7,62.2,59.7,59.7,56.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Refiner Operating Margin / Marge du raffinage","16.600000000000001",19,18.9,25.5,30.1,25,25.9,29.5,29.6,24.6,27.7,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marketing Operating Margin / Marge beneficiare du distributeur","7.5",8.9,7.4,9.9,9.8,10.2,10.7,11.2,12.1,11.3,12.8,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taxes","64.3",64.4,63.7,42.7,43,42.9,43,43.4,43.6,42.5,43.1,41.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tax Components:           Federal Excise Tax","10",10,10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GST/HST","21.2",21.3,19.4,17.2,17.4,17.4,17.5,17.9,18.1,17,17.6,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Provincial","33.1",33.1,33.1,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHARLOTTETOWN* Pump Price / Prix au detail","170.7",171.2,163.3,146.9,148.6,148.2,147.8,150.2,152.8,146.1,147.3,141.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Atlantic Weighted Average)   Crude Costs / Cout de brut","74.3",70.9,68.1,61.9,59.2,63.4,63.2,61.7,62.2,59.7,59.7,56.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Refiner Operating Margin / Marge du raffinage","28.1",31.1,29.3,37.3,39.4,34.3,35.3,38.7,40.4,38.1,38.9,34.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marketing Operating Margin / Marge beneficiare du distributeur","10",10.8,8.5,10,12.2,12.8,11.5,11.7,11.8,10.8,11,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taxes","58.4",58.4,57.4,37.6,37.9,37.8,37.8,38.1,38.4,37.5,37.7,36.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tax Components:           Federal Excise Tax","10",10,10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GST/HST","22.3",22.3,21.3,19.2,19.4,19.3,19.3,19.6,19.9,19.1,19.2,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Provincial","26.1",26.1,26.1,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ST JOHNS* Pump Price / Prix au detail","169.5",172.1,168.5,149,149.5,150.1,149.8,151.5,154.8,149.6,152.7,143.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"(Atlantic Weighted Average)   Crude Costs / Cout de brut","74.3",70.9,68.1,61.9,59.2,63.4,63.2,61.7,62.2,59.7,59.7,56.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Refiner Operating Margin / Marge du raffinage","29",32.3,30.4,38.8,39.5,34.8,35.3,39.6,40.7,39.5,41.1,34.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marketing Operating Margin / Marge beneficiare du distributeur","9",11.5,12.9,11.4,13.8,14.9,14.3,13,14.2,13.4,14.6,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taxes","57.2",57.6,57.1,36.9,37,37.1,37,37.3,37.7,37,37.4,36.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tax Components:           Federal Excise Tax","10",10,10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GST/HST","22.1",22.5,22,19.4,19.5,19.6,19.5,19.8,20.2,19.5,19.9,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Provincial","25.1",25.1,25.1,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CANADA AVERAGE Pump Price / Price au detail","159.69999999999999",161.1,158,142.3,145.3,143.8,142.7,144.9,147.1,139.7,142.3,131.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crude Costs/Cout de brut","67.900000000000006",64,62.3,57.5,55,59.7,59,56.6,56.2,53.4,53.1,50.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Refiner Operating Margin/Marge du raffinage","28.2",32.6,32.2,36.2,41.4,34.6,35,39,40.7,37.1,40,31.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marketing Operating Margin/Marge beneficiare du distributeur","9.1999999999999993",9.9,9.2,10.3,10.3,10.9,10.4,10.7,11.4,11.1,10.8,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taxes","54.5",54.6,54.3,38.4,38.6,38.5,38.4,38.6,38.8,38.2,38.5,37.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Prepared by Kalibrate Canada Inc.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
